RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1175459,1636,2017-03-12 13:19:59-05:00,5.0,2437.0,7.31,13,Sunday,12-15,2017,3
1175462,2183,2017-03-12 13:23:44-05:00,2.0,7273.0,22.35,13,Sunday,12-15,2017,3
1175465,2456,2017-03-12 13:24:05-05:00,5.0,1656.0,6.06,13,Sunday,12-15,2017,3
1175487,4137,2017-03-12 13:26:25-05:00,5.0,7049.0,13.13,13,Sunday,12-15,2017,3
1175493,156,2017-03-12 13:26:42-05:00,5.0,3649.0,9.17,13,Sunday,12-15,2017,3
1175514,416,2017-03-12 13:24:41-05:00,5.0,6220.0,13.79,13,Sunday,12-15,2017,3
1175558,2312,2017-03-12 13:26:44-05:00,5.0,7723.0,12.22,13,Sunday,12-15,2017,3
1175561,153,2017-03-12 13:32:40-05:00,4.0,789.0,6.06,13,Sunday,12-15,2017,3
1175616,2456,2017-03-12 13:36:23-05:00,5.0,3979.0,9.08,13,Sunday,12-15,2017,3
1175621,558,2017-03-12 13:31:08-05:00,5.0,6294.0,9.7,13,Sunday,12-15,2017,3
1175624,2804,2017-03-12 13:35:34-05:00,4.0,11522.0,14.27,13,Sunday,12-15,2017,3
1175633,3283,2017-03-12 13:38:07-05:00,5.0,804.0,6.06,13,Sunday,12-15,2017,3
1175646,156,2017-03-12 13:38:20-05:00,,1422.0,8.23,13,Sunday,12-15,2017,3
1175687,1570,2017-03-12 13:38:54-05:00,5.0,4344.0,9.36,13,Sunday,12-15,2017,3
1175690,4137,2017-03-12 13:41:49-05:00,5.0,2987.0,8.43,13,Sunday,12-15,2017,3
1175697,2372,2017-03-12 13:39:35-05:00,5.0,8395.0,21.63,13,Sunday,12-15,2017,3
1175712,846,2017-03-12 13:41:59-05:00,5.0,1701.0,6.06,13,Sunday,12-15,2017,3
1175724,2170,2017-03-12 13:45:03-05:00,,18148.0,20.1,13,Sunday,12-15,2017,3
1175727,2229,2017-03-12 13:25:40-05:00,5.0,8471.0,11.78,13,Sunday,12-15,2017,3
1175751,942,2017-03-12 13:41:22-05:00,5.0,4842.0,11.55,13,Sunday,12-15,2017,3
1175770,3283,2017-03-12 13:45:44-05:00,5.0,3559.0,10.48,13,Sunday,12-15,2017,3
1175786,654,2017-03-12 13:46:54-05:00,5.0,2759.0,8.79,13,Sunday,12-15,2017,3
1175788,153,2017-03-12 13:46:58-05:00,5.0,1046.0,6.06,13,Sunday,12-15,2017,3
1175804,3402,2017-03-12 13:44:51-05:00,5.0,3976.0,8.46,13,Sunday,12-15,2017,3
1175829,2312,2017-03-12 13:53:12-05:00,5.0,2635.0,7.56,13,Sunday,12-15,2017,3
1175854,416,2017-03-12 13:50:57-05:00,5.0,8032.0,11.36,13,Sunday,12-15,2017,3
1175863,558,2017-03-12 13:50:39-05:00,5.0,3718.0,10.89,13,Sunday,12-15,2017,3
1175872,156,2017-03-12 13:54:54-05:00,5.0,2703.0,9.03,13,Sunday,12-15,2017,3
1175876,1636,2017-03-12 13:51:17-05:00,5.0,9672.0,16.35,13,Sunday,12-15,2017,3
1175918,846,2017-03-12 13:59:18-05:00,5.0,4173.0,11.47,13,Sunday,12-15,2017,3
1175927,153,2017-03-12 13:59:03-05:00,5.0,7817.0,11.36,13,Sunday,12-15,2017,3
1175936,2804,2017-03-12 14:00:02-05:00,5.0,3261.0,7.4,14,Sunday,12-15,2017,3
1175942,2229,2017-03-12 13:59:07-05:00,5.0,7352.0,13.4,13,Sunday,12-15,2017,3
1175951,2183,2017-03-12 13:52:40-05:00,5.0,227.0,7.03,13,Sunday,12-15,2017,3
1175966,2456,2017-03-12 13:54:47-05:00,,18502.0,21.35,13,Sunday,12-15,2017,3
1175969,3402,2017-03-12 14:02:01-05:00,5.0,1017.0,6.06,14,Sunday,12-15,2017,3
1175977,1570,2017-03-12 14:00:39-05:00,5.0,4051.0,8.99,14,Sunday,12-15,2017,3
1175986,654,2017-03-12 14:05:01-05:00,5.0,2365.0,7.23,14,Sunday,12-15,2017,3
1176004,2312,2017-03-12 14:04:23-05:00,3.0,1364.0,6.06,14,Sunday,12-15,2017,3
1176013,3283,2017-03-12 14:05:50-05:00,5.0,3169.0,12.12,14,Sunday,12-15,2017,3
1176027,3775,2017-03-12 14:05:20-05:00,5.0,10199.0,16.69,14,Sunday,12-15,2017,3
1176029,558,2017-03-12 14:07:38-05:00,5.0,1492.0,6.06,14,Sunday,12-15,2017,3
